Wall time,Step,Value
1500388823.5312874,2690,0.8203125
1500388829.9681075,2703,0.8214285969734192
1500388837.3387368,2707,0.78125
1500388839.0796654,2710,0.78125
1500388848.0307703,2725,0.8125
1500388855.686497,2736,0.7890625
1500388856.22814,2737,0.7890625
1500388858.0135279,2740,0.71875
1500388861.8112748,2746,0.828125
1500388866.60144,2753,0.7890625
1500388867.3580441,2754,0.7578125
1500388868.3377974,2755,0.8125
1500388869.1418247,2756,0.78125
1500388869.9854963,2757,0.75
1500388870.840356,2758,0.8359375
1500388876.3354154,2766,0.875
1500388889.2254102,2789,0.7890625
1500388889.8688838,2790,0.8203125
1500388890.56332,2791,0.78125
1500388894.801045,2798,0.859375
1500388901.2752192,2809,0.796875
1500388902.6248996,2811,0.7890625
1500388909.310275,2823,0.625
1500388910.018839,2824,0.640625
1500388911.776011,2827,0.7265625
1500388912.9109037,2829,0.8203125
1500388913.4328735,2830,0.8671875
1500388914.486055,2832,0.7890625
1500388925.1446297,2851,0.734375
1500388927.8855095,2856,0.796875
1500388929.5649173,2859,0.828125
1500388931.1853926,2862,0.78125
1500388936.3222337,2871,0.8046875
1500388936.7858374,2872,0.8214285969734192
1500388945.9573874,2878,0.71875
1500388947.0722554,2880,0.78125
1500388947.589585,2881,0.8515625
1500388951.0168507,2887,0.8046875
1500388952.8038328,2890,0.8359375
1500388956.382751,2896,0.8046875
1500388957.52004,2898,0.84375
1500388958.5899494,2900,0.859375
1500388960.22237,2903,0.859375
1500388965.0418866,2912,0.8515625
1500388968.3768091,2917,0.84375
1500388969.5203247,2919,0.8828125
1500388970.1601677,2920,0.90625
1500388970.8236232,2921,0.8828125
1500388977.1070368,2932,0.828125
1500388983.0352705,2942,0.8828125
1500388987.6162317,2950,0.8671875
1500388997.3958619,2967,0.9453125
1500389001.5729578,2974,0.9375
1500389002.2469404,2975,0.8515625
1500389003.9827185,2978,0.8828125
1500389009.5395136,2988,0.953125
1500389013.1384149,2994,0.875
1500389015.4494164,2998,0.9140625
1500389018.3529274,3003,0.859375
1500389019.6133208,3005,0.890625
1500389020.748163,3007,0.8359375
